gameId,date,time,team1,team2,group
GA1,14/06/2018,18:00,KSA,RUS,A
GA2,15/06/2018,15:00,URU,EGY,A
GB1,15/06/2018,18:00,IRN,MAR,B
GB2,15/06/2018,21:00,ESP,POR,B
GC1,16/06/2018,13:00,AUS,FRA,C
GD1,16/06/2018,16:00,ISL,ARG,D
GC2,16/06/2018,19:00,DEN,PER,C
GD2,16/06/2018,22:00,NGA,CRO,D
GE1,17/06/2018,15:00,SRB,CRC,E
GF1,17/06/2018,18:00,MEX,GER,F
GE2,17/06/2018,21:00,SUI,BRA,E
GF2,18/06/2018,15:00,KOR,SWE,F
GG1,18/06/2018,18:00,PAN,BEL,G
GG2,18/06/2018,21:00,ENG,TUN,G
GH1,19/06/2018,15:00,JPN,COL,H
GH2,19/06/2018,18:00,SEN,POL,H
GA3,19/06/2018,21:00,EGY,RUS,A
GB3,20/06/2018,15:00,MAR,POR,B
GA4,20/06/2018,18:00,KSA,URU,A
GB4,20/06/2018,21:00,ESP,IRN,B
GC3,21/06/2018,15:00,AUS,DEN,C
GC4,21/06/2018,18:00,PER,FRA,C
GD3,21/06/2018,21:00,CRO,ARG,D
GE3,22/06/2018,15:00,CRC,BRA,E
GD4,22/06/2018,18:00,ISL,NGA,D
GE4,22/06/2018,21:00,SUI,SRB,E
GG3,23/06/2018,15:00,TUN,BEL,G
GF3,23/06/2018,18:00,MEX,KOR,F
GF4,23/06/2018,21:00,SWE,GER,F
GG4,24/06/2018,15:00,PAN,ENG,G
GH3,24/06/2018,18:00,SEN,JPN,H
GH4,24/06/2018,21:00,COL,POL,H
GA5,25/06/2018,17:00,RUS,URU,A
GA6,25/06/2018,17:00,EGY,KSA,A
GB5,25/06/2018,21:00,POR,IRN,B
GB6,25/06/2018,21:00,MAR,ESP,B
GC5,26/06/2018,17:00,FRA,DEN,C
GC6,26/06/2018,17:00,PER,AUS,C
GD5,26/06/2018,21:00,ARG,NGA,D
GD6,26/06/2018,21:00,CRO,ISL,D
GF5,27/06/2018,17:00,SWE,MEX,F
GF6,27/06/2018,17:00,GER,KOR,F
GE5,27/06/2018,21:00,BRA,SRB,E
GE6,27/06/2018,21:00,CRC,SUI,E
GH5,28/06/2018,17:00,POL,JPN,H
GH6,28/06/2018,17:00,COL,SEN,H
GG5,28/06/2018,21:00,TUN,PAN,G
GG6,28/06/2018,21:00,BEL,ENG,G
GAF1,30/06/2018,15:00,1A,2B
GAF2,30/06/2018,19:00,1C,2D
GAF3,01/07/2018,15:00,1B,2A
GAF4,01/07/2018,19:00,1D,2C
GAF5,02/07/2018,15:00,1E,2F
GAF6,02/07/2018,19:00,1G,2H
GAF7,03/07/2018,15:00,1F,2E
GAF8,03/07/2018,19:00,1H,2G
GQF1,06/07/2018,15:00,WGAF1,WGAF2
GQF2,06/07/2018,19:00,WGAF6,WGAF5
GQF3,07/07/2018,15:00,WGAF8,WGAF7
GQF4,07/07/2018,19:00,WGAF3,WGAF4
GSF1,10/07/2018,19:00,WGQF2,WGQF1
GSF2,11/07/2018,19:00,WGQF4,WGQF3
GFN1,14/07/2018,15:00,LGSF1,LGSF2
GFN2,15/07/2018,16:00,WGSF1,WGSF2
